date,temperature,rolling_7d_avg,daily_change
1981-01-01,20.7,,
1981-01-02,17.9,,-2.8000000000000007
1981-01-03,18.8,,0.9000000000000021
1981-01-04,14.6,,-4.200000000000001
1981-01-05,15.8,,1.200000000000001
1981-01-06,15.8,,0.0
1981-01-07,15.8,17.057142857142857,0.0
1981-01-08,17.4,16.585714285714285,1.5999999999999979
1981-01-09,21.8,17.142857142857142,4.400000000000002
1981-01-10,20.0,17.314285714285713,-1.8000000000000007
1981-01-11,16.2,17.54285714285714,-3.8000000000000007
1981-01-12,13.3,17.185714285714287,-2.8999999999999986
1981-01-13,16.7,17.314285714285713,3.3999999999999986
1981-01-14,21.5,18.128571428571426,4.800000000000001
1981-01-15,25.0,19.214285714285715,3.5
1981-01-16,20.7,19.057142857142857,-4.300000000000001
1981-01-17,20.6,19.142857142857142,-0.09999999999999787
1981-01-18,24.8,20.37142857142857,4.199999999999999
1981-01-19,17.7,21.0,-7.100000000000001
1981-01-20,15.5,20.82857142857143,-2.1999999999999993
1981-01-21,18.2,20.357142857142858,2.6999999999999993
1981-01-22,12.1,18.514285714285712,-6.1
1981-01-23,14.4,17.614285714285714,2.3000000000000007
1981-01-24,16.0,16.95714285714286,1.5999999999999996
1981-01-25,16.5,15.771428571428572,0.5
1981-01-26,18.7,15.914285714285715,2.1999999999999993
1981-01-27,19.4,16.47142857142857,0.6999999999999993
1981-01-28,17.2,16.32857142857143,-2.1999999999999993
1981-01-29,15.5,16.814285714285713,-1.6999999999999993
1981-01-30,15.1,16.914285714285715,-0.40000000000000036
1981-01-31,15.4,16.82857142857143,0.3000000000000007
1981-02-01,15.3,16.657142857142855,-0.09999999999999964
1981-02-02,18.8,16.67142857142857,3.5
1981-02-03,21.9,17.02857142857143,3.099999999999998
1981-02-04,19.9,17.414285714285715,-2.0
1981-02-05,16.6,17.571428571428573,-3.299999999999997
1981-02-06,16.8,17.814285714285713,0.1999999999999993
1981-02-07,14.6,17.7,-2.200000000000001
1981-02-08,17.1,17.95714285714286,2.5000000000000018
1981-02-09,25.0,18.842857142857145,7.899999999999999
1981-02-10,15.0,17.857142857142858,-10.0
1981-02-11,13.7,16.97142857142857,-1.3000000000000007
1981-02-12,13.9,16.585714285714285,0.20000000000000107
1981-02-13,18.3,16.8,4.4
1981-02-14,22.0,17.857142857142858,3.6999999999999993
1981-02-15,22.1,18.571428571428573,0.10000000000000142
1981-02-16,21.2,18.02857142857143,-0.9000000000000021
1981-02-17,18.4,18.514285714285712,-2.8000000000000007
1981-02-18,16.6,18.928571428571427,-1.7999999999999972
1981-02-19,16.1,19.242857142857144,-0.5
1981-02-20,15.7,18.87142857142857,-0.40000000000000213
1981-02-21,16.6,18.099999999999998,0.9000000000000021
1981-02-22,16.5,17.3,-0.10000000000000142
1981-02-23,14.4,16.32857142857143,-2.0999999999999996
1981-02-24,14.4,15.757142857142858,0.0
1981-02-25,18.5,16.02857142857143,4.1
1981-02-26,16.9,16.142857142857142,-1.6000000000000014
1981-02-27,17.5,16.4,0.6000000000000014
1981-02-28,21.2,17.057142857142857,3.6999999999999993
1981-03-01,17.8,17.242857142857144,-3.3999999999999986
1981-03-02,18.6,17.842857142857145,0.8000000000000007
1981-03-03,17.0,18.214285714285715,-1.6000000000000014
1981-03-04,16.0,17.857142857142858,-1.0
1981-03-05,13.3,17.342857142857145,-2.6999999999999993
1981-03-06,14.3,16.885714285714286,1.0
1981-03-07,11.4,15.485714285714286,-2.9000000000000004
1981-03-08,16.3,15.271428571428572,4.9
1981-03-09,16.1,14.914285714285715,-0.1999999999999993
1981-03-10,11.8,14.171428571428573,-4.300000000000001
1981-03-11,12.2,13.62857142857143,0.3999999999999986
1981-03-12,14.7,13.828571428571427,2.5
1981-03-13,11.8,13.471428571428573,-2.8999999999999986
1981-03-14,11.3,13.457142857142857,-0.5
1981-03-15,10.6,12.642857142857142,-0.7000000000000011
1981-03-16,11.7,12.014285714285716,1.0999999999999996
1981-03-17,14.2,12.357142857142858,2.5
1981-03-18,11.2,12.214285714285714,-3.0
